source,summary,model,HHEMv1,HHEM-2.1,HHEM-2.1-English,google/t5_11b_trueteacher_and_anli,google/t5_xxl_true_nli_mixture
"Buffy Summers . Buffy was portrayed by Kristy Swanson in the film , and later by Sarah Michelle Gellar in the television series .","Sure, here is a summary of the passage in the text provided:

Buffy Summers was portrayed by Kristy Swanson in the film and later by Sarah Michelle Gellar in the television series.",google/gemma-7b-it,0.99586,0.77885,0.98684,1,1.0
"Make It or Break It . It was announced on April 26 , 2012 , that the series had ended and the third season would be the final season . The series finale aired on May 14 , 2012 .","Sure, here is a concise summary of the passage:

The series ""Make It or Break It"" ended in 2012 with its third season being the final season. The series finale aired on May 14, 2012.",google/gemma-7b-it,0.99576,0.91343,0.98446,0,1.0
"Speech recognition ( SR ) is the inter-disciplinary sub-field of computational linguistics that develops methodologies and technologies that enables the recognition and translation of spoken language into text by computers . It incorporates knowledge and research in the linguistics , computer science , and electrical engineering fields . Speech recognition applications include voice user interfaces such as voice dialing ( e.g. `` Call home '' ) , call routing ( e.g. `` I would like to make a collect call '' ) , domotic appliance control , search ( e.g. find a podcast where particular words were spoken ) , simple data entry ( e.g. , entering a credit card number ) , preparation of structured documents ( e.g. a radiology report ) , speech-to-text processing ( e.g. , word processors or emails ) , and aircraft ( usually termed Direct Voice Input ) . The advances are evidenced not only by the surge of academic papers published in the field , but more importantly by the worldwide industry adoption of a variety of deep learning methods in designing and deploying speech recognition systems . These speech industry players include Google , Microsoft , IBM , Baidu , Apple , Amazon , Nuance , SoundHound , IflyTek , CDAC many of which have publicized the core technology in their speech recognition systems as being based on deep learning .","Sure, here is a concise summary of the passage in the text provided:

Speech recognition (SR) is a sub-field of computational linguistics that enables the recognition and translation of spoken language into text by computers. It incorporates knowledge and research from linguistics, computer science, and electrical engineering. Speech recognition applications include voice user interfaces, domotic appliance control, search, data entry, document preparation, and speech-to-text processing. The advances in speech recognition are evidenced by the surge of academic papers and the industry adoption of deep learning methods. The major speech industry players have publicized the core technology in their speech recognition systems as being based on deep learning.",google/gemma-7b-it,0.99537,0.95511,0.99466,0,1.0
"Richard Alf ( January 26 , 1952 -- January 4 , 2012 ) was an American businessman and former comic book store owner who co-founded the San Diego Comic-Con International and served as its chairman beginning in 1970 . San Diego Comic-Con . It was founded as the Golden State Comic Book Convention in 1970 by a group of San Diegans that included Shel Dorf , Richard Alf , Ken Krueger and Mike Towry ; later , it was called the `` San Diego Comic Book Convention '' .","Sure, here is a summary of the passage in a concise form, covering the core pieces of information described:

Richard Alf was an American businessman and former comic book store owner who co-founded the San Diego Comic-Con International in 1970. The convention was originally called the Golden State Comic Book Convention and later became known as the San Diego Comic Book Convention. Alf served as the chairman of the convention beginning in 1970.",google/gemma-7b-it,0.94184,0.91429,0.98917,0,0.0
"Fist of Legend . It is a remake of the 1972 Fist of Fury , which starred Bruce Lee as the lead character .","Sure, here is a concise summary of the passage in the text provided:

Fist of Legend is a remake of the 1972 film Fist of Fury. It stars Bruce Lee as the lead character.",google/gemma-7b-it,0.99847,0.84723,0.98661,0,1.0
"France's Dubuisson carded a 67 to tie with overnight leader Van Zyl of South Africa on 16 under par. McIlroy carded a third straight five under-par 67 to move to 15 under par with Thailand's Kiradech Aphibarnrat. The world number three's round included an eagle on the 12th as he bids to win his first title since May. ""The 67s I've shot this week have all been a little different and I feel like I've played within myself for all of them, "" said four-time major winner McIlroy of Northern Ireland. ""I feel there's a low round out there for me and hopefully it's tomorrow."" McIlroy was level par for the day after 10 holes, dropping his first shots of the week by three-putting the third and 10th, the latter mistake prompting the 26-year-old to throw his putter at his bag. But he hit back with a birdie on the par-five 11th and a towering four iron from 229 yards on the 13th set up an eagle from just four feet. The former world number one ruptured a ligament in his left ankle during a game of football with friends in July, ruling him out of several tournaments. But he returned in time to unsuccessfully defend his US PGA title at Whistling Straits in August and played in three of the FedEx Cup play-off events before starting the new PGA Tour season with a tie for 26th in the Frys.com Open in California. He is targeting a third Race to Dubai title in four years and leads England's Danny Willett by 271, 214 points with three events remaining after the Turkish Open. English pair Chris Wood (-13) and Richard Bland (-12) who were tied for second overnight are fifth and seventh respectively.","Sure, here is a concise summary of the passage in the text provided:

The text describes a recent golf tournament in which France's Dubuisson and South Africa's Van Zyl are tied for the lead at 16 under par. McIlroy, the world number three, is in third place at 15 under par. He has been playing well, including an eagle on the 12th hole. However, he was level par for the day after 10 holes and had to throw his putter at his bag due to a mistake. Despite his setback, McIlroy was able to hit back with a birdie on the par-five 11th and a towering four iron from 229 yards on the 13th set up an eagle. He is targeting a third Race to Dubai title in four years and leads England's Danny Willett by a significant margin.",google/gemma-7b-it,0.86068,0.88318,0.9649,1,0.0
"Sheikh Ali Salman told the BBC that for national dialogue to be meaningful, the government had to show its willingness to offer ""concrete solutions"". ""We want someone who can speak for the royal family,"" he said. Crown Prince Salman al-Khalifa is seen as a reformist in a court divided on how to respond to opposition demands. Hardliners - centred around the unelected Prime Minister Sheikh Khalifa bin Salman al-Khalifa, who has been in his post since 1971 - are said to be opposed to a dialogue process which has only just been agreed between the government and six opposition societies. They fear that any concessions will only serve to encourage more demands from opposition leaders they deeply distrust. However, speaking to the BBC during a visit to London, Sheikh Salman insisted that now was the time for dialogue. ""We welcome it, we are ready for it,"" he said. ""We believe that dialogue and negotiations are necessary."" The al-Wefaq leader acknowledged that many young protesters had lost faith in the main opposition parties. ""A lot of young people do not believe that we should ask for permission to go on a demonstration, or that we should call for a constitutional monarchy with this family, which until now is still killing people"". But he believed that the only way forward was to work with reformists within the Sunni Muslim royal family, including the US- and UK-educated Crown Prince Salman, who has has long been considered a proponent of accommodation with the country's Shia majority. Sheikh Salman noted that hours before King Hamad brought in Gulf Co-operation Council (GCC) troops to restore order and crush dissent on 14 March 2011, the crown prince and opposition had agreed a seven-point plan that would have moved Bahrain towards a constitutional monarchy. ""We had an agreement with the crown prince,"" he said. ""The seven principles were announced and then 12 hours later, GCC troops came in and severed the dialogue."" Asked about the appointment of Senator John Kerry as US secretary of state, Sheikh Salman said he was ""hopeful"" that he would ""do more than his predecessor"", Hillary Clinton. ""US policy needs to be more clear and direct. The United States government needs to pressure harder for human rights and democratic practices.  We are told that Mr Kerry has more interest in Bahrain and so we hope he will achieve more."" On the UK's approach to the crisis in Bahrain, the al-Wefaq leader was more blunt. ""If the UK government and [Prime Minister David] Cameron are serious about putting an end to violence and human rights abuses, then they have to speak out publically. ""It is not enough to say: 'We are privately urging reform.' That has been done for years. Unfortunately, the Bahrain government is not listening to these private conversations. ""So, the question I would ask the British government is: 'Shall you continue to say it privately and not put public pressure?' This is not, I think, a good policy."" Sheikh Salman also reiterated al-Wefaq's position that it would continue to call for ""peaceful demonstrations"", even though all public gatherings and rallies are currently banned in Bahrain. ""It is the only way open to us to put pressure on the government."" He also called for the release of 13 opposition leaders and human rights activists who have been sentenced to between five years and life in prison on evidence widely accepted as having been obtained under torture. They were convicted of plotting to overthrow the government. ""These people have a lot of followers in the street.  If they are not part of the dialogue than the dialogue will fail.""","Sure, here is a concise summary of the passage provided, covering the core pieces of information described:

The passage describes a situation in Bahrain where there is a conflict between the government and the opposition. The government is led by Prime Minister Sheikh Khalifa bin Salman al-Khalifa, who has been in his post since 1971. The opposition is led by the al-Wefaq society.

The main points of contention are:

* The government's unwillingness to offer concrete solutions for national dialogue
* The fear of concessions from the government leading to more demands from the opposition
* The need for dialogue and negotiations between the government and the opposition
* The need for the US and UK governments to put pressure on the Bahraini government to respect human rights and democratic practices
* The call for peaceful demonstrations and the release of imprisoned opposition leaders

Sheikh Salman believes that the only way forward is to work with reformists within the Sunni Muslim royal family, including the Crown Prince Salman, and to pressure the US and UK governments to take a more active role in the crisis.",google/gemma-7b-it,0.83963,0.72762,0.92765,1,0.0
"He died at his home in Cambridge following an illness lasting several months, a statement on his website said. It added his funeral will be private, with a memorial service to be held at a later date. Hogwood worked with many leading orchestras around the world and was considered one of the most influential exponents of the early-music movement. The conductor founded the Academy of Ancient Music (AAM) in 1973 and directed the academy across six continents for some 30 years. The AAM also made more than 200 CDs, including the first-ever complete cycle of Mozart symphonies on period instruments. Among his most famous recordings include the 1980 version of Handel's Messiah with Emma Kirkby and Carolyn Watkinson, which was named by BBC Music Magazine as one of the top 20 recordings of all time. Hogwood studied keyboard at Cambridge University with Rafael Puyana and Mary Potts and later with Zuzana Ruzickova and Gustav Leonhardt. His first positions were as a keyboard player and musicologist with the Academy of Saint Martin-in-the-Fields under Sir Neville Marriner, and was a founder member of the Early Music Consort of London. He was the artistic director of the King's Lynn Festival and Boston's Handel and Haydn Society. He was also a tutor at Harvard University, honorary professor of music at the University of Cambridge and a professor-at-large at Cornell University in the US. ""Christopher had extraordinary generosity of spirit,"" Christopher Purvis, honorary president of the AAM, said. ""He was a great ambassador for historically informed music, the movement of which he was a founder. And he was happy to see the orchestra he founded develop and grow after he stepped down as director."" The AAM's music director Richard Egarr added: ""I am deeply saddened by the news of Christopher's passing. Christopher provided a fantastic legacy for me to build upon when I joined in 2006 and I know he will be greatly missed by all who knew and worked with him."" Speaking to Sean Rafferty on Radio 3's In Tune, soprano Dame Emma Kirkby said: ""Some of the best players that now lead orchestras all over the world, they started with him. ""Chris was a natural academic, an incredibly clever man. He had an amazing capacity to absorb information of all kinds and a really sure sense of how things would be if he really tried to reproduce conditions... a very genial person."" David Thomas from Trinity Laban Conservatoire of Music and Dance, London added: ""He always said I want the music to speak for itself because it can, it's good enough, it willâ€¦ a very pleasant and lovely man.""","Sure, here is a concise summary of the passage provided, covering the core pieces of information described:

Christopher Hogwood was a renowned conductor and musicologist known for his significant contributions to the early-music movement. Born in Cambridge, he studied keyboard at the university and later became a founding member of the Early Music Consort of London. Hogwood established the Academy of Ancient Music (AAM) in 1973 and led the academy across six continents for over three decades. The AAM has produced numerous CDs, including the first complete cycle of Mozart symphonies on period instruments. Among Hogwood's most famous recordings is the 1980 version of Handel's Messiah with Emma Kirkby and Carolyn Watkinson. He was also a tutor at Harvard University, honorary professor of music at the University of Cambridge, and a professor-at-large at Cornell University. Hogwood was recognized for his extraordinary generosity of spirit and his ability to inspire others. His legacy continues to live on through the AAM and the many musicians he influenced.",google/gemma-7b-it,0.811,0.6137,0.86793,0,0.0
"In the year to the end of March, 57 victims of homicide (murders and culpable homicides) were recorded - down five on the previous 12 months. This is the lowest number of recorded homicide cases for a single 12-month period since 1976 and half the figure of nine years ago. As of 31 March 2016, only one case of homicide recorded in 2015-16 was unresolved. The report Homicide in Scotland showed that a sharp instrument remained the most common method of killing in Scotland and accounted for 51% of homicides (29 cases) in 2015-16. Nearly all of these cases (26 out of 29) involved a knife. While the majority of the accused had an unknown status for alcohol and drugs, 31% (20 people) were identified by the police as being under the influence of alcohol or alcohol and drugs. Justice Secretary Michael Matheson said: ""While it is encouraging to see continued falls in homicide cases alongside the long-term decline in violent crime, the sustained efforts that have helped achieve this - through education and enforcement - must continue, because each of the lives lost is one life too many. ""There is a clear role across a range of public services, in addition to the critical work of our police, to continue to support communities that may remain at risk from violent crime and to challenge irresponsible attitudes both to alcohol misuse and to so-called 'casual' violence. ""We will continue to work with partners and invest in a range of projects to help steer our young people away from the risks of a life of violence and crime, while also ensuring our law enforcement agencies and the courts have the powers and resources needed to deal with those who do harm to others."" Scottish Labour's justice spokeswoman Claire Baker said: ""Whilst I welcome the overall downward trend in homicides in Scotland we have to take these statistics with a note of caution. ""Last year when the Scottish government were heralding 'record low' homicide figures after a supposed similar drop, the actual figures were being revised upwards to show an increase. ""Meanwhile, sexual crime in Scotland sits at a 45-year high and in the past year we have seen an increase in violent crime with attempted murder and serious assault rising by a staggering 27%."" The number of homicide victims for 2014-15 stood at 59 last year but later increased to 62, after three cases were reclassified following deaths.","Sure, here is a concise summary of the passage provided, covering the core pieces of information described:

The number of homicide victims in Scotland in the year to the end of March 2016 was 57, down five on the previous 12 months. This is the lowest number of recorded homicide cases for a single 12-month period since 1976. A sharp instrument was the most common method of killing in Scotland in 2015-16, accounting for 51% of homicides. The majority of the accused had an unknown status for alcohol and drugs, but 31% (20 people) were identified by the police as being under the influence of alcohol or alcohol and drugs.

The report also highlighted the need to continue to support communities that may remain at risk from violent crime and to challenge irresponsible attitudes both to alcohol misuse and to so-called 'casual' violence.",google/gemma-7b-it,0.94426,0.95102,0.98518,0,1.0
"The Cherries went down 2-1 at Sunderland on Saturday, becoming the first team to lose to the Black Cats in the Premier League this season. Dan Gosling's goal, which gave them the lead, was their first for three games. ""It shouldn't be down to a lack of confidence,"" Howe told BBC Radio Solent. ""We scored six goals against Hull prior to these two games."" He continued: ""A couple of weeks later, if you were to put the chances we've created together into a clip sequence, the fact that we haven't even scored one goal is difficult to take."" Bournemouth were stunned by goals for Sunderland from Victor Anichebe and a Jermain Defoe penalty and they were unable to find an equaliser, even against 10 men following Steven Pienaar's dismissal. ""We've had enough chances to win three games today,"" Howe added. ""Sometimes football pans out that way and you have to accept it. It's how you move on from that which is key.""","Sure, here is a concise summary of the passage provided covering the core pieces of information described:

The Cherries lost 2-1 to Sunderland on Saturday, becoming the first team to lose to the Black Cats in the Premier League this season. They scored their first goal in three games through Dan Gosling's goal. The team was disappointed not to have scored more goals given the number of chances they had. They were stunned by goals from Victor Anichebe and a Jermain Defoe penalty and were unable to find an equaliser. Despite having 10 men following Steven Pienaar's dismissal, they had enough chances to win the game.",google/gemma-7b-it,0.93904,0.76648,0.7108,0,1.0
"Mr Abbott told Australian media that the only way to prevent people dying at sea was to ""stop the boats"". Australia detains any migrants trying to reach its shores by boat, and takes them to offshore processing camps to be eventually resettled elsewhere. On Thursday, the New York Times described the policy as ""brutal"". In an editorial, the newspaper said the ""ruthlessly effective"" policy was ""inhumane, of dubious legality and strikingly at odds with the country's tradition of welcoming people fleeing persecution and war"". It said it would be ""unconscionable"" for European leaders to consider adopting similar policies, as Mr Abbott has previously suggested. Australia has not responded to the editorial, but on Friday Mr Abbott said the image of Syrian three-year-old Alan Kurdi, who died trying to reach Greece by boat with his family, was ""very sad"". ""If you want to stop the deaths, if you want to stop the drownings you have got to stop the boats,"" he told ABC Radio. ""Thankfully, we have stopped that in Australia because we have stopped the illegal boats."" On Thursday, Mr Abbott angered Australian Jewish groups by saying the so-called Islamic State (IS), from which many of the migrants to Europe are fleeing, was worse than the Nazis. ""The Nazis did terrible evil, but they had a sufficient sense of shame to try to hide it,"" he told Sydney Radio 2GB. But IS militants, he said, ""boast about their evil, this is the extraordinary thing"". The Executive Council of Australian Jewry Robert Goot said the comment was ""injudicious and unfortunate"", saying there was ""a fundamental difference between organised acts of terrorism and a genocide systematically implemented by a state as essential policy"". ""The crimes of Islamic State are indeed horrific but cannot be compared to the systematic round-up of millions of people and their despatch to purpose-built death camps for mass murder,"" he told Australian media. Mr Abbott later said he stood by his comments, but that he was not in the ""business of ranking evil"".","Sure, here is a concise summary of the passage provided, covering the core pieces of information described:

The passage describes Australia's policy of detaining migrants trying to reach its shores by boat and the controversial statements made by Prime Minister Abbott. The policy is described as ""brutal"" and ""inhumane"" by the New York Times. To prevent deaths at sea, Abbott believes that the boats must be stopped. He has been criticized for comparing the Islamic State to the Nazis. Australian Jewish groups have expressed concern about the comments, saying there is a fundamental difference between organized acts of terrorism and genocide. Despite the criticism, Abbott has stood by his comments and said he is not in the ""business of ranking evil.""",google/gemma-7b-it,0.98645,0.90063,0.98308,1,1.0
"Washington blamed Russia and the Syrian government for intensifying their attacks against civilians. Last week, the US warned it would halt the talks unless Moscow stops bombing the city of Aleppo. Russia said it regretted the US move, accusing it of shifting the blame for the collapse of last month's truce. Aleppo, Syria's largest city in the north, has come under heavy aerial bombardment since the end of the ceasefire two weeks ago. The main trauma hospital in the rebel-held eastern part of the city was hit in an air strike for the third time in a week, activists said on Monday. Hundreds of people, including children, have died since government forces launched an offensive to take full control of Aleppo after the week-long truce lapsed. Some 250,000 people are trapped in eastern Aleppo. In a statement, state department spokesman john Kirby said: ""The United States is suspending its participation in bilateral channels with Russia that were established to sustain the cessation of hostilities. ""Unfortunately, Russia failed to live up to its own commitments... and was also either unwilling or unable to ensure Syrian regime adherence to the arrangements to which Moscow agreed. ""Rather, Russia and the Syrian regime have chosen to pursue a military course,"" Mr Kirby said, admitting that ""this is not a decision that was taken lightly"". He said Moscow and Syrian President Bashar al-Assad's troops had been ""targeting of critical infrastructure such as hospitals, and preventing humanitarian aid from reaching civilians in need, including through the 19 September attack on a humanitarian aid convoy"". Moscow strongly denies involvement of its own or Syrian planes in the deadly aid convoy strike, and says the incident was caused by fire on the ground and not by an air strike. In response to the US suspension of the talks, Russian foreign ministry spokeswoman Maria Zakharova said: ""We regret this decision by Washington."" ""Washington simply did not fulfil the key condition of the agreement to improve the humanitarian condition around Aleppo. ""After failing to fulfil the agreements that they themselves worked out, they are trying to shift responsibility on to someone else,"" Ms Zakharova said. She also said that the US had failed to divide jihadist groups in Syria from the moderate opposition. Russia and the US were due to convene in Geneva to try to co-ordinate air strikes against jihadist groups, but American officials were told to return home. The US also said that it would withdraw personnel ""that had been dispatched in anticipation of the possible establishment of the Joint (US-Russian) Implementation Centre"". However, the two sides would keep talking about counter-terrorism operations in Syria to avoid unnecessary clashes.","Sure, here is a concise summary of the passage provided, covering the core pieces of information described:

The text describes a recent conflict in Aleppo, Syria, and the subsequent suspension of talks between the US and Russia. The conflict intensified after the collapse of a truce, and resulted in heavy aerial bombing of the city. A main trauma hospital in the rebel-held eastern part of Aleppo was hit in an air strike for the third time in a week. Hundreds of people, including children, have died since the offensive began. The US blamed Russia and the Syrian government for intensifying their attacks against civilians and accused Russia of failing to uphold its commitments to the truce. In response, Russia suspended its participation in the talks and accused the US of shifting blame and failing to divide jihadist groups from the moderate opposition.",google/gemma-7b-it,0.93457,0.94908,0.9659,0,0.0
"Downing Street backed a report by think tank Policy Exchange which said selling high value homes when they become vacant would raise £4.5bn a year. That would be enough to build 80,000 to 170,000 social homes, the report said. Labour said new homes were urgently needed but ""driving out hard-working families on low wages from whole neighbourhoods"" was not the answer. In its Ending Expensive Social Tenancies report, Policy Exchange argues the move could create the largest social house building programme since the 1970s - giving the economy a kickstart. Neil O'Brien, the think tank's director, told the BBC that social housing would still exist in very expensive areas under its proposal, but there would just be ""less of it"". ""The truth is I don't believe anybody has the right to live in the most expensive parts of town. ""People do have a right to get housed, just not in the very most expensive areas,"" he said. He also suggested that the overall number of people waiting for social housing, currently around 1.8 million, could be reduced by about 500,000 if the scheme was implemented. The prime minister's official spokesman said: ""This is something that councils can choose to do already. ""Councils should be looking for ways to use their social housing stock as efficiently as they can. The waiting list for social housing has increased a lot over passing years. ""They need to think about how they can use that social housing stock efficiently. ""If they can sell high-value housing to invest in more social housing and find more homes for more people, then that is certainly something they should look at."" But Labour said the coalition's ""failed"" polices were ""making the housing crisis worse not better"". Shadow housing minister Jack Dromey said: ""Councils and housing associations should make effective use of their housing stock but the government should not force them to arbitrarily sell off social homes, breaking up mixed communities and driving out hard-working families on low wages from whole neighbourhoods."" He said the government should use a bank bonus tax to fund 250,000 affordable homes and ""put unemployed builders back to work"" and boost the construction industry. 'Lucky family' Expensive social housing - which Policy Exchange defines as housing worth more than the average property in each region - accounts for 21.8% of the total social housing stock in the UK, it says. This equates to 816,000 properties - out of a total of 3.78 million - which the think tank says could raise up to £159bn if sold. It says London alone has more than £70bn of expensive social housing. About 3.5% of the total stock becomes vacant every year owing to people moving out or dying, the think tank said. This meant the government could sell a total of 28,500 properties each year, raising £5.5bn a year. The figure would stand at £4.5bn after paying off the debt held against the stock, the report said. Mr O'Brien argued that many hard-working people might want to live in a nicer area or in a bigger house but could not afford to. ""Rather than having one lucky family with a very expensive house, you would have two families perhaps desperately waiting for social housing, now having a roof over their heads. ""That seems fairer to me,"" he added. The think tank also said the move would be ""extremely popular"" with all sections of society, claiming that 73% of people, including social tenants, think people should not be given council houses worth more than the average property in a local authority. 'Dramatic erosion' Critics say such a move would push the least well-off out of expensive streets, and into new ghettos. The National Housing Federation, which represents housing associations, says many towns would be ""cleansed"" of ""hardworking people who can't afford to pay high prices"". Labour MP Karen Buck, who represents Westminster North, is concerned that lower income families, particularly in London, will be forced out of more affluent areas creating segregated communities of rich and poor. Ms Buck also argued that the Labour government's £8bn social and affordable housing building programme was cut by 60% when the coalition came to power. Housing Minister Grant Shapps - who is in favour of a sell-off - said the government had introduced ""radical reforms"" to ""get Britain building"" and to reduce social housing waiting lists. They included investing £19.5bn public and private funding into an affordable housing programme ""set to exceed expectations and deliver up to 170,000 homes"". Councils could now offer fixed-term tenancies to new tenants to make sure ""social housing goes to those in greatest need"", he added.","**Summary of the passage:**

The passage discusses the potential impact of selling high-value social housing on the UK housing market. According to a report by Policy Exchange, this move could raise £4.5bn a year, enough to build 80,000 to 170,000 social homes. However, Labour Party critics argue that this would drive out hard-working families from their neighborhoods and create segregated communities.

The report defines ""lucky family"" expensive social housing as properties worth more than the average property in each region. It estimates that this accounts for 21.8% of the total social housing stock in the UK, and that about 3.5% of the stock becomes vacant each year. The government could therefore sell a total of 28,500 properties each year, raising £5.5bn a year.

The think tank argues that the move would be ""extremely popular"" with all sections of society, but critics argue that it would push the least well-off out of expensive streets and into new ghettos. They also point out that the Labour government's social and affordable housing building programme was cut by 60% when the coalition came to power.

The Housing Minister argues that the government has introduced ""radical reforms"" to ""get Britain building"" and to reduce social housing waiting lists. He believes that the move would be beneficial to those in greatest need and would help to address the issue of social housing inequality.",google/gemma-7b-it,0.89468,0.87813,0.94778,1,1.0
"Gareth Colfer-Williams, 25, died last week at his home in Swansea, the city at the centre of an epidemic of the disease which has reached 942 cases. But the examination was unable to establish whether measles was the main cause of his death. An inquest will be opened and adjourned on Tuesday to allow further tests. Since the outbreak began in November, 83 people have needed hospital treatment for the illness. Mr Colfer-Williams' mother, Angela Colfer said her son had recently been treated at Swansea's Morriston Hospital for asthma. A few days after he was discharged he became unwell and developed a rash. Mrs Colfer said her son went to see an out-of-hours GP on 17 April with a rash ""from head to foot"" but not on his arms. The following morning, Mr Colfer-Williams was found dead at his flat. Public Health Wales said on Friday that laboratory tests confirmed a diagnosis of measles but further tests were needed to determine the cause of death. The family said they had no idea how Mr Colfer-Williams got measles as no close family member has it, including his three-year-old daughter who has been vaccinated.","Sure, here is a concise summary of the passage provided, covering the core pieces of information described:

Gareth Colfer-Williams, a 25-year-old resident of Swansea, succumbed to an unknown cause last week. The examination conducted was unable to establish whether measles was the primary cause of his death. An inquest will be held on Tuesday to allow for further tests. Since the outbreak began in November, a total of 83 individuals have sought hospital treatment for the illness. Mr. Colfer-Williams' mother reported that he had been treated for asthma at Morriston Hospital and developed a rash after his discharge. Laboratory tests confirmed a diagnosis of measles, but further tests are required to determine the exact cause of his death. The family expressed confusion as they had no knowledge of how Mr. Colfer-Williams contracted measles, as neither close family members nor his three-year-old daughter have the disease.",google/gemma-7b-it,0.90199,0.90189,0.97829,0,1.0
"Vincent Hudson has been charged with the historical offence on a boy under the age of 16, Cumbria Police said. A spokesman for the force said the attack was reported to have taken place in 2001. Mr Hudson, 54, of Loweswater Avenue, Whitehaven, is due to appear before North Cumbria Magistrates' Court later, the spokesman added.","Sure, here is a concise summary of the passage in the text provided:

Vincent Hudson has been charged with a historical offence on a boy under the age of 16 in Cumbria, UK. The attack, which was reported to have taken place in 2001, is believed to have been committed by Mr. Hudson, 54, of Loweswater Avenue, Whitehaven. He is due to appear before North Cumbria Magistrates' Court later.",google/gemma-7b-it,0.9968,0.26429,0.78667,0,1.0
"Neil Aspin's promotion-chasing hosts have not lost in nine National League matches while Adam Lockwood's side are unbeaten in five. Guiseley went ahead on 15 minutes against the run of play when a throw-in found James Hurst who squared to Jake Lawlor to stroke into an empty net. Gateshead defender Liam Hogan superbly blocked Jordan Preston's effort and Guiseley keeper Jonny Maxted then saved well from Wesley York's shot just before the break. The hosts, who started the second half well, levelled on 62 minutes when a slip by half-time substitute Derek Asamoah let York curl sweetly into the top-right corner from the edge of the box. Match report supplied by the Press Association. Match ends, Gateshead 1, Guiseley 1. Second Half ends, Gateshead 1, Guiseley 1. Substitution, Guiseley. Michael Rankine replaces Jordan Preston. Substitution, Gateshead. Luke Hannant replaces Gus Mafuta. Gus Mafuta (Gateshead) is shown the yellow card. Substitution, Guiseley. Adam Boyes replaces Jake Cassidy. Goal!  Gateshead 1, Guiseley 1. Wes York (Gateshead). Substitution, Guiseley. Derek Asamoah replaces Kevan Hurst. Second Half begins Gateshead 0, Guiseley 1. First Half ends, Gateshead 0, Guiseley 1. Simon Walton (Guiseley) is shown the yellow card. Goal!  Gateshead 0, Guiseley 1. Jake Lawlor (Guiseley). First Half begins. Lineups are announced and players are warming up.","Sure, here is a concise summary of the passage provided, covering the core pieces of information described:

The text describes a recent match between Gateshead and Guiseley. Guiseley won the match 1-0 thanks to a goal from Jake Lawlor. The hosts, Guiseley, took the lead on 15 minutes when a throw-in found James Hurst who squared to Lawlor to stroke into an empty net. Gateshead defender Liam Hogan made a superb block on Jordan Preston's effort and Guiseley keeper Jonny Maxted saved well from Wesley York's shot just before the break. The hosts started the second half well and levelled on 62 minutes when a slip by half-time substitute Derek Asamoah let York curl sweetly into the top-right corner from the edge of the box. The match ended in a draw.",google/gemma-7b-it,0.57091,0.3671,0.20716,0,0.0
"Bristol Sport Ltd, which owns the football club, wants to replace two stands to increase capacity. The plan is an alternative to proposals to build a new stadium at nearby Ashton Vale, which has been delayed by an application for a town green. Majority shareholder Steve Lansdown confirmed the club would begin work at a shareholder meeting on Tuesday. The work was approved by Bristol City Council in November. Mr Lansdown told the club's official website: ""We'll sign the section 106 agreement any day now, and then we have six weeks to wait for the judicial review period. ""We wanted to give some certainty to supporters, so if we get through to March with no judicial review, then we will be going ahead with the redevelopment plans, starting in May.""","Sure, here is a summary of the passage in a concise form, covering the core pieces of information described:

Bristol Sport Ltd, owner of the football club, plans to replace two stands to increase capacity. The project was approved by the council in November and will be discussed at a shareholder meeting on Tuesday. The club will sign the section 106 agreement soon and wait for the judicial review period, which will take six weeks. If there is no judicial review by March, the club will begin redevelopment in May.",google/gemma-7b-it,0.98622,0.91973,0.86639,1,1.0
